id,recomendaciones
20510,"['Arcade Moonlander', 'Hard Truck Apocalypse: Arcade / Ex Machina: Arcade', 'Arcade Tale', 'ARCADE GAME SERIES: PAC-MAN', 'Pinball Arcade']"
17330,"['Xpand Rally', 'WRC 7 FIA World Rally Championship', 'Sébastien Loeb Rally EVO', 'WRC 5 FIA World Rally Championship', 'WRC 4 FIA World Rally Championship']"
17300,"['Heroes of Might & Magic V', 'Heroes of Might & Magic V: Tribes of the East', 'Might & Magic: Heroes VI - Shades of Darkness', 'Might & Magic® Heroes® VII', 'Might & Magic: Heroes VI']"
7730,"[""Brothers in Arms: Hell's Highway™"", 'Brothers in Arms: Road to Hill 30™', 'Craft The World - Sisters in Arms', 'Enemy Front', 'Iron Front: Digital War Edition']"
20900,"['Heroes of Might & Magic V', 'Heroes of Might & Magic V: Hammers of Fate', 'Might & Magic® Heroes® VII', 'Might & Magic: Heroes VI', 'Might & Magic: Heroes VI - Shades of Darkness']"
1530,"['The Settlers Online', 'The Settlers®: Heritage of Kings', 'The Settlers 7: Paths to a Kingdom: Deluxe Gold Edition', 'The Settlers 7: Conquest - The Empire Expansion DLC', 'Stronghold 3 Gold']"
8690,"['Spa Mania', 'Spa Mania 2', 'Brain Booster', 'Brain Crush', 'Brain Guzzler']"
17120,"['Rocksmith® 2014 – Sum 41 - “We’re All to Blame”', 'Rocksmith® 2014 – Sum 41 - “The Hell Song”', 'Primal Fears', 'Rocksmith® 2014 – Sum 41 Song Pack', ""Delicious - Emily's Hopes and Fears""]"
16810,"['Peggle Deluxe', 'Peggle Extreme', '6 Nights', 'Card City Nights Soundtrack', 'Card City Nights 2 - Soundtrack']"
19830,"['Botanicula', 'Crayon Physics Deluxe', 'Little Inferno', 'Tiny Bridge: Ratventure', 'Magic Siege - Defender']"
21000,"['X3: Reunion', 'X Rebirth', 'X3: Albion Prelude', 'X: Beyond the Frontier', 'X2: The Threat']"
4460,"['Heroes of The West', 'Expansion - Europa Universalis IV: Mare Nostrum', 'Content Pack - Europa Universalis IV: Mare Nostrum', 'Europe at War', 'The Great War 1918']"
17140,"['Monster Puzzle', 'Puzzle One', 'Puzzle Guardians', 'Puzzle Cube', 'Draw Puzzle']"
